"NDB_No","Seq","Amount","Msre_Desc","Gm_Wgt","Num_Data_pts","Std_Dev"
"05682","1","4.0","oz","113.0","",""
"05682","2","1.0","thigh without skin","148.0","15","24.13"
"05682","3","1.0","thigh with skin","191.0","15","34.245"
"05683","1","3.0","oz","85.0","6","31.242"
"05683","2","1.0","thigh with skin","130.0","15","26.334"
"05683","3","1.0","thigh without skin","112.0","15",""
"05684","1","3.0","oz","85.0","",""
"05685","1","4.0","oz","113.0","",""
"05686","1","3.0","oz","85.0","",""
"05687","1","3.0","oz","85.0","","22.463"
"05687","2","1.0","drumstick with skin","106.0","10","20.442"
"05687","3","1.0","drumstick without skin","95.0","10",""
"05688","1","4.0","oz","113.0","6","29.469"
"05688","2","1.0","drumstick with skin","143.0","10","24.86"
"05688","3","1.0","drumstick without skin","130.0","10",""
"05689","1","3.0","oz","85.0","6","23.648"
"05689","2","1.0","drumstick with skin","129.0","10",""
"05689","3","1.0","drumstick without skin","91.0","30",""
"05690","1","3.0","oz","85.0","",""
"05690","2","1.0","thigh without skin","132.0","15","31.264"
"05690","3","1.0","thigh with skin","158.0","15","39.359"
"05691","1","4.0","oz","113.0","",""
"05691","2","1.0","thigh without skin","148.0","15","24.13"
"05691","3","1.0","thigh","181.0","22",""
"05692","1","3.0","oz","85.0","6","31.242"
"05692","2","1.0","thigh with skin","130.0","15","26.334"
"05692","3","1.0","thigh without skin","112.0","15",""
"05693","1","3.0","oz","85.0","",""
"05693","2","1.0","back","182.0","48","34.31"
"05694","1","4.0","oz","113.0","",""
"05695","1","3.0","oz","85.0","",""
"05696","1","4.0","oz","113.0","",""
"05697","1","3.0","oz","85.0","",""
"05698","1","4.0","oz","113.0","",""
"05699","1","1.0","oz","28.35","",""
"05700","1","4.0","oz","113.0","",""
"05700","2","1.0","lb","453.0","",""
"05701","1","3.0","oz","85.0","",""
"05702","1","4.0","oz","113.0","",""
"05702","2","1.0","lb","453.0","",""
"05703","1","3.0","oz","85.0","",""
"05703","2","1.0","lb","453.0","",""
"05704","1","4.0","oz","113.0","1",""
"05704","2","1.0","bird","5717.0","11","1080.565"
"05705","1","3.0","oz","85.0","1",""
"05705","2","1.0","bird","4147.0","11","597.099"
"05706","1","4.0","oz","113.0","1",""
"05706","2","1.0","bird","5717.0","11","1080.565"
"05707","1","3.0","oz","85.0","1",""
"05707","2","1.0","bird","4147.0","11","597.099"
"05707","3","1.0","lb","453.0","1",""
"05708","1","4.0","oz","113.0","4","269.718"
"05708","2","1.0","breast","1171.0","4","0.0"
"05709","1","3.0","oz","85.0","4","0.0"
"05709","2","1.0","breast","852.0","4","209.04"
"05710","1","4.0","oz","113.0","4","0.0"
"05710","2","1.0","breast","1150.0","4","244.183"
"05711","1","1.0","breast","863.0","4","116.235"
"05711","2","3.0","oz","85.0","4","0.0"
"05712","1","4.0","oz","113.0","8","0.0"
"05712","2","1.0","wing","518.0","21",""
"05713","1","3.0","oz","85.0","8","0.0"
"05713","2","1.0","wing","375.0","31",""
"05714","1","4.0","oz","113.0","12","0.0"
"05715","1","3.0","oz","85.0","12","0.0"
"05716","1","4.0","oz","113.0","12","0.0"
"05716","2","1.0","drumstick","356.0","33",""
"05717","1","4.0","oz","113.0","5","0.0"
"05717","2","1.0","thigh","454.0","10",""
"05718","1","3.0","oz","85.0","1",""
"05718","2","1.0","breast","1654.0","11","336.64"
"05719","1","4.0","oz","113.0","",""
"05719","2","1.0","back","1245.0","11","251.39"
"05720","1","3.0","oz","85.0","",""
"05720","2","1.0","back","949.0","11","121.52"
"05721","1","4.0","oz","113.0","1",""
"05721","2","1.0","breast","2110.0","11","451.88"
"05721","3","1.0","lb","453.0","1",""
"05722","1","3.0","oz","85.0","5","0.0"
"05722","2","1.0","thigh","348.0","10",""
"05723","1","3.0","oz","85.0","12","0.0"
"05723","2","1.0","drumstick","275.0","35",""
"05724","1","4.0","oz","113.0","",""
"05724","2","1.0","drumstick","359.0","22","56.46"
"05725","1","3.0","oz","85.0","",""
"05725","2","1.0","drumstick","217.0","22","34.88"
"05726","1","4.0","oz","113.0","1",""
"05726","2","1.0","thigh","424.0","22","94.0"
"05727","1","4.0","oz","113.0","4","0.0"
"05727","2","1.0","breast","1171.0","4","269.718"
"05728","1","3.0","oz","85.0","",""
"05728","2","1.0","thigh","327.0","22","48.27"
"05729","1","3.0","oz","85.0","",""
"05729","2","1.0","wing","358.0","22","40.25"
"05730","1","3.0","oz","85.0","",""
"05730","2","1.0","wing","219.0","22","25.11"
"05732","1","3.0","oz","85.0","4","0.0"
"05732","2","1.0","breast","1150.0","4","244.183"
"05733","1","3.0","oz","85.0","4","0.0"
"05733","2","1.0","breast","863.0","4","116.235"
"05734","1","3.0","oz","85.0","8","0.0"
"05734","2","1.0","wing","518.0","21",""
"05735","1","3.0","oz","85.0","8","0.0"
"05735","2","1.0","wing","375.0","31",""
"05736","1","4.0","oz","113.0","12","0.0"
"05736","2","1.0","drumstick","356.0","33",""
"05737","1","3.0","oz","85.0","12","0.0"
"05737","2","1.0","drumstick","275.0","35",""
"05738","1","4.0","oz","113.0","",""
"05738","2","1.0","drumstick","337.0","16","40.36"
"05739","1","3.0","oz","85.0","",""
"05739","2","1.0","drumstick","206.0","16","43.03"
"05740","1","4.0","oz","113.0","",""
"05740","2","1.0","thigh","367.0","16","79.35"
"05741","1","3.0","oz","85.0","",""
"05741","2","1.0","thigh","319.0","16","86.76"
"05742","1","4.0","oz","113.0","5","0.0"
"05742","2","1.0","thigh","454.0","10",""
"05743","1","3.0","oz","85.0","12","0.0"
"05743","2","1.0","thigh","348.0","10",""
"05744","1","4.0","oz","113.0","",""
"05744","2","1.0","back","1245.0","11","251.39"
"05745","1","3.0","oz","85.0","",""
"05745","2","1.0","back","949.0","11","121.52"
"05746","1","3.0","oz","85.0","",""
"05746","2","1.0","piece","181.0","55",""
"05747","1","3.0","oz","85.0","",""
"05747","2","1.0","piece","196.0","74",""
"05748","1","3.0","oz","85.0","",""
"05748","2","1.0","piece","195.0","54",""
"05749","1","3.0","oz","85.0","",""
"05749","2","1.0","piece","192.0","59",""
"06001","1","0.5","cup (4 fl oz)","126.0","",""
"06001","2","1.0","can (10.75 oz)","305.0","",""
"06002","1","1.0","cup (8 fl oz)","257.0","",""
"06002","2","1.0","can (11 oz), undiluted","312.0","",""
"06004","1","0.5","cup","130.0","",""
"06004","2","1.0","can 11.5 oz","326.0","",""
"06006","1","1.0","cup (8 fl oz)","263.0","",""
"06006","2","1.0","can (11.25 oz)","319.0","",""
"06007","1","1.0","cup (8 fl oz)","243.0","",""
"06007","2","1.0","can (19.25 oz)","546.0","",""
"06008","1","1.0","cup","240.0","",""
"06008","2","1.0","can 14.5 oz","435.0","",""
"06008","3","1.0","container 32 oz","960.0","",""
"06009","1","0.5","cup","125.0","",""
"06009","2","1.0","can (10.75 oz)","305.0","",""
"06010","1","0.5","cup","126.0","",""
"06010","2","1.0","can (10.75 oz)","305.0","",""
"06011","1","0.5","cup","124.0","1",""
"06013","1","0.5","cup (4 fl oz)","126.0","",""
"06013","2","1.0","can (10.75 oz)","305.0","",""
"06015","1","1.0","cup","245.0","",""
"06016","1","0.5","cup (4 fl oz)","126.0","",""
"06016","2","1.0","can (10.75 oz)","305.0","",""
"06017","1","0.5","cup (4 fl oz)","126.0","",""
"06017","2","1.0","can (10.75 oz)","305.0","",""
"06018","1","1.0","can","530.0","18","7.046"
"06018","2","1.0","cup","243.0","18","3.734"
"06019","1","0.5","cup","124.0","24","6.049"
"06022","1","1.0","cup","240.0","",""
"06022","2","1.0","can 19 oz","539.0","",""
"06023","1","0.5","cup","126.0","",""
"06024","1","1.0","cup","255.0","16","11.763"
"06025","1","0.5","cup","121.0","",""
"06025","2","1.0","can (10.7 oz)","303.0","",""
"06026","1","1.0","cup (8 fl oz)","263.0","",""
"06026","2","1.0","can (11.25 oz)","319.0","",""
"06027","1","1.0","cup (8 fl oz)","240.0","",""
"06027","2","1.0","can (19 oz)","539.0","",""
"06028","1","0.5","cup (4 fl oz)","126.0","",""
"06028","2","1.0","can (10.75 oz)","305.0","",""
"06030","1","0.5","cup","126.0","1",""
"06030","2","1.0","can (10.7 oz)","303.0","",""
"06032","1","0.5","cup","124.0","1",""
"06032","2","1.0","can (10.5 oz)","310.0","",""
"06037","1","1.0","cup (8 fl oz)","248.0","",""
"06037","2","1.0","can (20 oz)","567.0","",""
"06039","1","1.0","cup","240.0","",""
"06039","2","1.0","can (19 oz)","539.0","",""
"06040","1","0.5","cup (4 fl oz)","123.0","",""
"06040","2","1.0","can (10.5 oz)","298.0","",""
"06042","1","0.5","cup (4 fl oz)","126.0","",""
"06042","2","1.0","can (10.75 oz)","305.0","",""
"06043","1","0.5","cup","126.0","23","4.295"
"06044","1","0.5","cup (4 fl oz)","126.0","",""
"06044","2","1.0","can (10.75 oz)","305.0","",""
"06045","1","0.5","cup (4 fl oz)","123.0","",""
"06045","2","1.0","can (10.5 oz)","298.0","",""
"06046","1","0.5","cup","126.0","",""
"06046","2","1.0","can (10.75 oz)","305.0","",""
"06048","1","0.5","cup (4 fl oz)","123.0","",""
"06048","2","1.0","can (10.5 oz)","298.0","",""
"06049","1","0.5","cup","128.0","",""
"06049","2","1.0","can (11.2 oz)","319.0","",""
"06050","1","1.0","cup","240.0","",""
"06050","2","1.0","can (19 oz)","539.0","",""
"06051","1","0.5","cup (4 fl oz)","135.0","",""
"06051","2","1.0","can (11.5 oz)","326.0","",""
"06053","1","0.5","cup","124.0","1",""
"06056","1","0.5","cup","126.0","",""
"06056","2","1.0","can","305.0","",""
"06061","1","1.0","cup (8 fl oz)","251.0","",""
"06061","2","1.0","can (10.75 oz)","305.0","",""
"06062","1","0.5","cup","123.0","12","7.441"
"06063","1","0.5","cup (4 fl oz)","129.0","",""
"06063","2","1.0","can (11 oz), undiluted","312.0","",""
"06064","1","1.0","cup (8 fl oz)","236.0","",""
"06064","2","1.0","can (18.75 oz)","532.0","",""
"06067","1","1.0","cup","230.0","20","8.753"
"06068","1","0.5","cup","126.0","",""
"06068","2","1.0","can (10.5 oz)","298.0","",""
"06070","1","1.0","cup","245.0","1",""
"06070","2","1.0","can (19 oz)","539.0","",""
"06071","1","0.5","cup","126.0","",""
"06071","2","1.0","can (10.75 oz)","305.0","",""
"06072","1","0.5","cup","123.0","",""
"06072","2","1.0","can (10.5 oz)","298.0","",""
"06075","1","1.0","cube","3.6","",""
"06075","2","1.0","packet","6.0","",""
"06076","1","1.0","cube","3.6","",""
"06080","1","1.0","cube","4.0","",""
"06080","2","1.0","teaspoon","2.0","",""
"06081","1","1.0","cube","4.8","",""
"06094","1","1.0","serving 1 tbsp","7.5","1",""
"06094","2","1.0","packet","39.0","",""
"06101","1","1.0","packet","18.0","",""
"06112","1","1.0","tbsp","18.0","",""
"06112","2","1.0","fl oz","36.0","",""
"06112","3","1.0","cup","288.0","",""
"06114","1","0.25","cup","59.0","",""
"06114","2","1.0","can","298.0","",""
"06115","1","1.0","tsp","3.0","",""
"06116","1","1.0","cup","233.0","",""
"06116","2","1.0","can","291.0","",""
"06118","1","1.0","tbsp","6.0","",""
"06119","1","0.25","cup","57.0","",""
"06119","2","1.0","cup","228.0","8","2.0"
"06119","3","1.0","jar 10.5 oz","273.0","27",""
"06119","4","1.0","jar 12 oz","324.0","36",""
"06120","1","1.0","tbsp","8.0","",""
"06120","2","1.0","serving","8.0","",""
"06121","1","1.0","cup","238.0","",""
"06121","2","1.0","can","298.0","",""
"06122","1","1.0","cup (8 fl oz)","21.0","",""
"06123","1","1.0","cup (8 fl oz)","24.0","",""
"06124","1","1.0","serving","6.7","",""
"06125","1","1.0","cup","238.0","",""
"06125","2","1.0","tbsp","14.9","",""
"06125","3","1.0","tsp","5.0","",""
"06125","4","1.0","can","298.0","",""
"06126","1","1.0","serving","7.0","",""
"06127","1","1.0","cup (8 fl oz)","25.0","",""
"06128","1","1.0","packet","74.0","",""
"06128","2","1.0","packet (6 fl oz)","11.1","",""
"06142","1","0.5","cup","103.0","",""
"06147","1","0.5","cup (4 fl oz)","126.0","",""
"06147","2","1.0","can (10.75 oz)","305.0","",""
"06149","1","0.5","cup","124.0","",""
"06150","1","1.0","tbsp","17.0","54","1.204"
"06150","2","0.5","cup","143.0","54","6.154"
"06150","3","1.0","cup","279.0","54","13.399"
"06151","1","1.0","tbsp","19.0","",""
"06151","2","1.0","cup","305.0","",""
"06152","1","0.25","cup","63.0","",""
"06158","1","0.5","cup (4 fl oz)","129.0","",""
"06158","2","1.0","can (11 oz), undiluted","312.0","",""
"06159","1","1.0","cup","148.0","12","4.496"
"06159","2","1.0","can","294.0","12","3.502"
"06164","1","2.0","tbsp","36.0","24","1.646"
"06164","2","0.5","cup","130.0","",""
"06164","3","1.0","cup","259.0","",""
"06166","1","1.0","cup","250.0","",""
"06166","2","0.5","cup","125.0","",""
"06167","1","1.0","cup","250.0","",""
"06167","2","0.5","cup","125.0","",""
"06168","1","1.0","tsp","4.7","",""
"06168","2","0.25","tsp","1.2","",""
"06169","1","1.0","tsp","4.7","",""
"06169","2","0.25","tsp","1.2","",""
"06170","1","1.0","cup","240.0","",""
"06172","1","1.0","cup","240.0","",""
"06174","1","1.0","cup","233.0","",""
"06175","1","1.0","tbsp","16.0","",""
"06176","1","1.0","tbsp","18.0","",""
"06177","1","1.0","cup","245.0","",""
"06179","1","1.0","tbsp","18.0","",""
"06180","1","1.0","cup","216.0","",""
"06182","1","1.0","cup","251.0","",""
"06183","1","1.0","cup","240.0","",""
"06188","1","1.0","cup","219.0","35","4.409"
"06188","2","1.0","can (14.5 oz)","407.0","21","8.308"
"06188","3","1.0","carton (32 oz)","923.0","23","12.407"
"06189","1","2.0","Tbsp","36.0","",""
"06190","1","1.0","cup","245.0","",""
"06192","1","1.0","cup","253.0","",""
"06193","1","1.0","cup","245.0","",""
"06194","1","1.0","cup","249.0","28","9.102"
"06201","1","1.0","cup (8 fl oz)","248.0","",""
"06201","2","1.0","can (10.75 oz), prepared","602.0","",""
"06208","1","1.0","cup","245.0","",""
"06210","1","1.0","cup (8 fl oz)","248.0","",""
"06210","2","1.0","can (10.75 oz), prepared","602.0","",""
"06211","1","1.0","cup","251.0","",""
"06211","2","1.0","can (11 oz), prepared","609.0","",""
"06216","1","1.0","cup (8 fl oz)","248.0","",""
"06216","2","1.0","fl oz","31.0","",""
"06216","3","1.0","can (10.75 oz), prepared","602.0","",""
"06217","1","0.5","cup","126.0","",""
"06230","1","1.0","serving 1 cup","252.0","",""
"06230","2","1.0","fl oz","31.5","",""
"06243","1","1.0","serving 1 cup","252.0","",""
"06243","2","1.0","fl oz","31.5","",""
"06246","1","1.0","cup (8 fl oz)","248.0","",""
"06246","2","1.0","can (10.75 oz), prepared","602.0","",""
"06248","1","1.0","cup (8 fl oz)","245.0","",""
"06248","2","1.0","can (10.5 oz), prepared","595.0","",""
"06249","1","1.0","cup (8 fl oz)","254.0","",""
"06249","2","1.0","can (11.25 oz), prepared","616.0","",""
"06253","1","1.0","cup (8 fl oz)","248.0","",""
"06253","2","1.0","can (10.75 oz), prepared","602.0","",""
"06256","1","1.0","cup (8 fl oz)","253.0","",""
"06256","2","1.0","fl oz","31.6","",""
"06307","1","1.0","tbsp","16.0","12","0.455"
"06307","2","0.5","cup","146.0","12","3.297"
"06307","3","1.0","cup","283.0","12","8.151"
"06314","1","1.0","serving 1 cup","243.0","1",""
"06315","1","1.0","serving 1 cup","240.0","2",""
"06316","1","1.0","serving 1 cup","246.0","1",""
"06338","1","0.5","cup condensed","129.0","12","2.267"
"06358","1","1.0","cup (8 fl oz)","251.0","",""
"06358","2","1.0","can (11 oz), prepared","609.0","",""
"06359","1","1.0","serving 1 cup","252.0","",""
"06359","2","1.0","fl oz","31.5","",""
"06377","1","0.5","cup condensed","124.0","1",""
"06395","1","1.0","cup","243.0","11","2.691"
"06395","2","1.0","can","526.0","11","5.025"
"06401","1","1.0","cup (8 fl oz)","244.0","",""
"06401","2","1.0","can (10.75 oz), prepared","593.0","",""
"06402","1","1.0","cup","247.0","",""
"06402","2","1.0","can (11 oz), prepared","600.0","",""
"06404","1","1.0","serving 1 cup","266.0","",""
"06404","2","1.0","fl oz","33.3","",""
"06406","1","1.0","cup (8 fl oz)","250.0","",""
"06406","2","1.0","can (11.25 oz), prepared","607.0","",""
"06409","1","1.0","cup (8 fl oz)","244.0","",""
"06409","2","1.0","can (10.75 oz), prepared","593.0","",""
"06410","1","1.0","cup","248.0","",""
"06410","2","1.0","can (10.75 oz), prepared","593.0","",""
"06411","1","1.0","cup (8 fl oz)","247.0","",""
"06411","2","1.0","can (11 oz), prepared","600.0","",""
"06413","1","1.0","cup (8 fl oz)","244.0","",""
"06413","2","1.0","can (10.75 oz), prepared","593.0","",""
"06415","1","1.0","cup","206.0","5","7.759"
"06415","2","1.0","can","527.0","21","6.183"
"06416","1","1.0","cup","244.0","",""
"06416","2","1.0","fl oz","30.5","",""
"06416","3","1.0","can (10.75 oz), prepared","593.0","",""
"06417","1","1.0","cup","244.0","",""
"06417","2","1.0","can (10.75 oz), prepared","593.0","",""
"06419","1","1.0","serving 1 cup","248.0","",""
"06423","1","1.0","serving 1 cup","243.0","",""
"06426","1","1.0","cup","261.0","",""
"06426","2","1.0","fl oz","32.6","",""
"06428","1","1.0","serving 1 cup","249.0","",""
"06428","2","1.0","fl oz","31.1","",""
"06430","1","1.0","serving 1 cup","248.0","",""
"06430","2","1.0","fl oz","31.0","",""
"06431","1","1.0","cup","251.0","12","9.511"
"06431","2","1.0","can","519.0","12","6.135"
"06432","1","1.0","cup (8 fl oz)","241.0","",""
"06432","2","1.0","can (10.5 oz), prepared","586.0","",""
"06434","1","1.0","cup","247.0","9","1.994"
"06434","2","1.0","can","529.0","9","7.726"
"06440","1","1.0","cup (8 fl oz)","241.0","",""
"06440","2","1.0","can (10.5 oz), prepared","586.0","",""
"06442","1","1.0","cup (8 fl oz)","244.0","",""
"06442","2","1.0","can (10.75 oz), prepared","593.0","",""
"06443","1","1.0","serving 1 cup","248.0","",""
"06443","2","1.0","fl oz","31.0","",""
"06444","1","1.0","cup (8 fl oz)","244.0","",""
"06444","2","1.0","can (10.75 oz), prepared","593.0","",""
"06446","1","1.0","cup (8 fl oz)","244.0","",""
"06446","2","1.0","can (10.75 oz), prepared","593.0","",""
"06448","1","1.0","cup (8 fl oz)","241.0","",""
"06448","2","1.0","can (10.5 oz), prepared","586.0","",""
"06449","1","1.0","serving 1 cup","259.0","",""
"06449","2","1.0","fl oz","32.4","",""
"06451","1","1.0","cup (8 fl oz)","253.0","",""
"06451","2","1.0","can (11.5 oz), prepared","614.0","",""
"06453","1","1.0","cup (8 fl oz)","244.0","",""
"06453","2","1.0","can (10.75 oz), prepared","593.0","",""
"06456","1","1.0","cup","244.0","",""
"06456","2","1.0","can (10.75 oz), prepared","593.0","",""
"06461","1","1.0","cup","244.0","",""
"06461","2","1.0","can (10.75 oz), prepared","593.0","",""
"06463","1","1.0","cup","247.0","",""
"06463","2","1.0","can (11 oz), prepared","600.0","",""
"06465","1","1.0","cup","244.0","",""
"06465","2","1.0","fl oz","30.5","",""
"06465","3","1.0","can (10.75 oz), prepared","593.0","",""
"06466","1","1.0","cup (8 fl oz)","241.0","",""
"06466","2","1.0","fl oz","30.1","",""
"06466","3","1.0","can (10.5 oz), prepared","586.0","",""
"06468","1","1.0","cup","241.0","",""
"06468","2","1.0","can (10.5 oz), prepared","586.0","",""
"06471","1","1.0","cup (8 fl oz)","244.0","",""
"06471","2","1.0","can (10.75 oz), prepared","593.0","",""
"06472","1","1.0","cup (8 fl oz)","241.0","",""
"06472","2","1.0","can (10.5 oz), prepared","586.0","",""
"06475","1","1.0","serving 1 cup","240.0","",""
"06475","2","1.0","fl oz","29.9","",""
"06476","1","1.0","serving 1 cup","240.0","",""
"06476","2","1.0","fl oz","29.9","",""
"06480","1","1.0","cup 8 fl oz","241.0","",""
"06480","2","1.0","fl oz","30.1","",""
"06481","1","1.0","cup (8 fl oz)","243.0","",""
"06481","2","1.0","cube (6 fl oz prepared)","182.0","",""
"06483","1","1.0","cup 8 fl oz","261.0","",""
"06483","2","1.0","fl oz","32.6","",""
"06494","1","1.0","serving 1 cup","230.0","",""
"06494","2","1.0","fl oz","28.7","",""
"06498","1","1.0","cup 8 fl oz","265.0","",""
"06528","1","1.0","cup","245.0","",""
"06547","1","1.0","cup (8 fl oz)","244.0","",""
"06547","2","1.0","can (10.75 oz), prepared","593.0","",""
"06549","1","1.0","cup (8 fl oz)","244.0","",""
"06549","2","1.0","can (10.75 oz), prepared","593.0","",""
"06558","1","1.0","cup (8 fl oz)","247.0","",""
"06558","2","1.0","can (11 oz), prepared","600.0","",""
"06559","1","1.0","serving 1 cup","248.0","",""
"06559","2","1.0","fl oz","31.0","",""
"06583","1","1.0","package without flavor packet","81.0","45","3.072"
"06583","2","1.0","packet","5.8","45","0.517"
"06584","1","1.0","serving 1/2 cup","121.0","",""
"06584","2","1.0","can 10.7 oz (10.75 oz)","303.0","",""
"06611","1","1.0","cup","213.0","5","3.114"
"06611","2","1.0","can 14.5 oz","413.0","10","5.272"
"06611","3","1.0","carton 32 oz","925.0","15","14.306"
"06615","1","1.0","cup","220.0","5","2.588"
"06615","2","1.0","carton 32 oz","928.0","20","5.829"
"06618","1","1.0","tbsp","17.0","5","0.344"
"06619","1","10.0","oz 1 pouch","283.0","1",""
"06620","1","10.0","oz 1 pouch","283.0","1",""
"06621","1","10.0","oz 1 pouch","283.0","1",""
"06622","1","10.0","oz 1 pouch","283.0","1",""
"06623","1","10.0","oz 1 pouch","283.0","1",""
"06624","1","10.0","oz 1 pouch","283.0","1",""
"06625","1","10.0","oz 1 pouch","283.0","1",""
"06626","1","0.25","cup","63.0","6","1.293"
"06627","1","0.25","cup","61.0","22","1.962"
"06628","1","0.25","cup","63.0","6","1.293"
"06629","1","0.25","cup","62.0","11","1.926"
"06630","1","0.25","cup","60.0","6","2.499"
"06631","1","1.0","tsp","6.5","16","0.672"
"06632","1","1.0","tsp","6.9","5","0.277"
"06633","1","1.0","tsp","6.2","9","0.754"
"06700","1","1.0","cup","221.0","40","2.952"
"06700","2","1.0","can","390.0","8","4.302"
"06700","3","1.0","carton (32 oz)","926.0","28","5.929"
"06725","1","1.0","serving","240.0","",""
"06725","2","1.0","package yields","539.0","",""
"06731","1","1.0","serving 1/2 cup","128.0","",""
"06742","1","1.0","serving","292.0","",""
"06742","2","1.0","package yields","292.0","",""
"06749","1","1.0","cup","250.0","15","4.641"
"06749","2","1.0","can","528.0","15","7.164"
"06930","1","0.25","cup","63.0","",""
"06931","1","1.0","serving 1/2 cup","132.0","36","10.729"
"06955","1","0.5","cup","124.0","",""
"06956","1","1.0","serving 1/2 cup","121.0","",""
"06956","2","1.0","can 10.7 oz","303.0","",""
"06957","1","1.0","serving","6.7","",""
"06957","2","1.0","package","454.0","",""
"06958","1","1.0","serving","6.7","",""
"06958","2","1.0","package (16 oz)","454.0","",""
"06959","1","1.0","serving","6.7","",""
"06959","2","1.0","package (16 oz)","454.0","",""
"06961","1","1.0","tbsp","15.0","",""
"06961","2","1.0","cup","245.0","",""
"06962","1","1.0","tbsp","15.0","",""
"06962","2","1.0","cup","245.0","",""
"06963","1","1.0","cup","244.0","",""
"06963","2","1.0","fl oz","30.5","",""
"06964","1","1.0","serving 1 cup","248.0","",""
"06964","2","1.0","fl oz","31.0","",""
"06965","1","1.0","cup","259.0","",""
"06965","2","1.0","fl oz","32.4","",""
"06966","1","1.0","serving 1 cup","248.0","",""
"06966","2","1.0","fl oz","31.0","",""
"06967","1","1.0","cup","253.0","",""
"06968","1","1.0","cup","244.0","",""
"06968","2","1.0","can (10.75 oz)","305.0","",""
"06969","1","1.0","serving 1/3 cup","39.0","",""
"06970","1","1.0","cup","240.0","",""
"06971","1","1.0","tbsp","17.0","",""
"06971","2","1.0","cup","275.0","",""
"06972","1","1.0","packet","6.0","",""
"06972","2","1.0","cup","273.0","",""
"06974","1","1.0","cup","241.0","",""
"06976","1","1.0","serving 1/2 cup","128.0","1",""
"06976","2","1.0","cup","257.0","1",""
"06977","1","1.0","cup","236.0","",""
"06978","1","1.0","cup","251.0","",""
"06980","1","1.0","cup","240.0","",""
"06981","1","1.0","tsp","2.6","",""
"06981","2","1.0","cube","3.6","",""
"06982","1","1.0","package without flavor packet","82.0","23","2.649"
"06982","2","1.0","packet","5.6","23","0.59"
"06983","1","1.0","package without flavor packet","81.0","22","3.43"
"06983","2","1.0","packet","6.0","22","0.309"
"06985","1","1.0","serving 1/4 cup 2 oz","57.0","1",""
"06999","1","0.25","cup","56.0","1",""
"06999","2","1.0","cup","226.0","4","0.492"
"06999","3","1.0","can 10.5 oz","273.0","27",""
"07001","1","1.0","oz","28.35","",""
"07001","2","1.0","slice (5-7/8"" x 3-1/2"" x 1/16"")","23.0","",""
"07002","1","2.0","oz","56.0","1",""
"07003","1","1.0","slice (4"" dia x 1/8"" thick)","23.0","",""
"07003","2","1.0","slice (2-3/4"" dia x 1/16"")","6.0","",""
"07004","1","1.0","slice","23.0","",""
"07004","2","1.0","oz","28.35","",""
"07005","1","4.0","slices","100.0","1",""
"07006","1","1.0","sausage","91.0","1",""
"07007","1","1.0","slice","30.0","63","4.827"
"07007","2","1.0","serving","28.0","2",""
"07008","1","3.527","oz","100.0","2",""
"07010","1","1.0","slice, medium (4-1/2"" dia x 1/8"" thick) (1 oz)","28.0","",""
"07010","2","1.0","slice (4"" dia x 1/8"" thick)","23.0","",""
"07011","1","0.99","oz 1 serving","28.0","","0.0"
"07011","2","1.0","serving","28.0","",""
"07011","3","1.0","package","454.0","",""
"07013","1","1.0","link cooked","85.0","1",""
"07014","1","1.0","oz","28.35","",""
"07014","2","1.0","slice (2-1/2"" dia x 1/4"" thick)","18.0","",""
"07015","1","1.0","link","70.0","",""
"07016","1","2.33","links","100.0","1",""
"07018","1","1.0","serving (1 serving)","56.0","",""
"07019","1","1.0","oz","28.35","",""
"07019","2","1.0","link (4"" long)","60.0","",""
"07020","1","1.0","slice (1 oz) (4"" x 4"" x 3/32"" thick)","28.0","",""
"07020","2","2.0","slices","57.0","",""
"07021","1","1.0","slice","38.0","",""
"07022","1","1.0","hot dog","49.0","32","5.748"
"07022","2","1.0","package","446.0","35","26.463"
"07024","1","3.0","oz","85.0","",""
"07024","2","1.0","link","45.0","22","9.062"
"07025","1","1.0","oz","28.35","",""
"07025","2","1.0","frankfurter","45.0","",""
"07026","1","1.0","oz","28.35","",""
"07026","2","1.0","slice (4-1/4"" x 4-1/4"" x 1/16"")","21.0","",""
"07027","1","1.0","slice (1 oz) (4"" x 4"" x 3/32"" thick)","28.0","",""
"07027","2","1.0","slice (4-1/4"" x 4-1/4"" x 1/16"")","21.0","",""
"07028","1","1.0","slice","13.0","33","6.218"
"07029","1","56.0","grams 1 serving","56.0","",""
"07029","2","1.0","slice","28.0","",""
"07030","1","1.0","oz","28.35","",""
"07030","2","1.0","slice (4-1/4"" x 4-1/4"" x 1/16"")","21.0","",""
"07031","1","1.0","tbsp","15.0","",""
"07031","2","1.0","oz","28.35","",""
"07032","1","1.0","slice (1 oz) (4"" x 4"" x 3/32"" thick)","28.0","",""
"07032","2","2.0","slices","57.0","",""
"07033","1","1.0","tbsp","15.0","",""
"07033","2","1.0","oz","28.35","",""
"07034","1","1.0","slice (1 oz) (4"" x 4"" x 3/32"" thick)","28.0","",""
"07034","2","45.0","g","45.0","1",""
"07036","1","1.0","link","101.0","9",""
"07038","1","1.0","link","72.0","",""
"07038","2","1.0","oz","28.35","",""
"07039","1","1.0","serving 2 slices","57.0","",""
"07039","2","1.0","oz","28.35","",""
"07039","3","2.0","oz","57.0","1",""
"07040","1","1.0","oz","28.35","",""
