"NDB_No","Seq","Amount","Msre_Desc","Gm_Wgt","Num_Data_pts","Std_Dev"
"01040","3","1.0","cup, shredded","108.0","",""
"01040","4","1.0","oz","28.35","",""
"01040","5","1.0","cubic inch","15.0","",""
"01040","6","1.0","slice (1 oz)","28.0","",""
"01041","1","1.0","oz","28.35","",""
"01041","2","1.0","package (6 oz)","170.0","",""
"01042","1","1.0","oz","28.35","",""
"01042","2","1.0","slice (1 oz)","28.0","",""
"01042","3","1.0","slice (3/4 oz)","21.0","",""
"01042","4","1.0","cubic inch","18.0","",""
"01042","5","1.0","cup, shredded","113.0","",""
"01042","6","1.0","cup, diced","140.0","",""
"01042","7","1.0","cup, melted","244.0","",""
"01043","1","1.0","cup, diced","140.0","",""
"01043","2","1.0","cup, melted","244.0","",""
"01043","3","1.0","cup, shredded","113.0","",""
"01043","4","1.0","oz","28.35","",""
"01043","5","1.0","cubic inch","18.0","",""
"01043","6","1.0","slice (3/4 oz)","21.0","",""
"01044","1","1.0","cup, diced","140.0","",""
"01044","2","1.0","cup, shredded","113.0","",""
"01044","3","1.0","oz","28.35","",""
"01044","4","1.0","cubic inch","18.0","",""
"01044","5","1.0","slice (3/4 oz)","21.0","",""
"01045","1","1.0","oz","28.35","",""
"01045","2","1.0","package (8 oz)","227.0","",""
"01046","1","1.0","cup","113.0","",""
"01046","2","1.0","oz","28.35","",""
"01046","3","1.0","slice (3/4 oz)","21.0","",""
"01046","4","1.0","package (8 oz)","227.0","",""
"01047","1","1.0","oz","28.35","",""
"01047","2","1.0","package (8 oz)","227.0","",""
"01048","1","1.0","cup, diced","140.0","",""
"01048","2","1.0","cup","244.0","",""
"01048","3","1.0","jar (5 oz)","128.0","",""
"01048","4","1.0","cubic inch","18.0","",""
"01048","5","1.0","jar (5 oz)","142.0","",""
"01048","6","1.0","slice","34.0","",""
"01048","7","1.0","slice, thin","14.0","",""
"01049","1","1.0","fl oz","30.2","",""
"01049","2","1.0","tbsp","15.0","",""
"01049","3","1.0","cup","242.0","",""
"01049","4","1.0","container, individual (.5 fl oz)","15.0","",""
"01050","1","1.0","fl oz","30.0","",""
"01050","2","1.0","tbsp","15.0","",""
"01050","3","1.0","cup","240.0","",""
