id,name,cals_per_rep,cals_per_min,created_at
135,Carpentry: outside,,4.7957,1580336048
136,Roofing,,4.7957,1580336048
137,Computer Work,,1.09677,1580336048
138,Light Office Work,,1.2043,1580336048
139,Sitting in Meetings,,1.29032,1580336048
140,Desk Work,,1.39785,1580336048
141,Sitting in Class,,1.39785,1580336048
142,Truck Driving: sitting,,1.5914,1580336048
143,Bartending/Server,,2,1580336048
144,Heavy Equip. Operator,,2,1580336048
145,Police Officer,,2,1580336048
146,Theater Work,,2.4086,1580336048
147,Welding,,2.4086,1580336048
148,Carpentry Work,,2.7957,1580336048
149,Coaching Sports,,3.2043,1580336048
150,"Masseur, standing",,3.2043,1580336048
151,"Construction, general",,4.4086,1580336048
152,Coal Mining,,4.7957,1580336048
153,Horse Grooming,,4.7957,1580336048
154,Masonry,,5.5914,1580336048
155,"Forestry, general",,6.4086,1580336048
156,"Heavy Tools, not power",,6.4086,1580336048
157,Steel Mill: general,,6.4086,1580336048
158,Firefighting,,9.5914,1580336048
